{'nodes': 40, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 4.158408164978027, 'train-mse-bal': 0.7930558323860168, 'majority-mse': 4.2122883796691895, 'minority-mse': 7.275076866149902, 'trainable': 'last-layer'}
{'nodes': 160, 'beta-norm': 1, 'epochs': 50, 'train-mse': 3.9634737968444824, 'train-mse-bal': 0.7614922523498535, 'majority-mse': 3.967865228652954, 'minority-mse': 6.502255916595459, 'trainable': 'last-layer'}
{'nodes': 160, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 3.2664501667022705, 'train-mse-bal': 0.5857534408569336, 'majority-mse': 3.730081081390381, 'minority-mse': 9.182769775390625, 'trainable': 'last-layer'}
{'nodes': 640, 'beta-norm': 1, 'epochs': 50, 'train-mse': 3.6821253299713135, 'train-mse-bal': 0.7165241837501526, 'majority-mse': 3.674274444580078, 'minority-mse': 6.90899658203125, 'trainable': 'last-layer'}
{'nodes': 640, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 2.1237688064575195, 'train-mse-bal': 0.3379361927509308, 'majority-mse': 2.9419779777526855, 'minority-mse': 12.330522537231445, 'trainable': 'last-layer'}
{'nodes': 2560, 'beta-norm': 1, 'epochs': 50, 'train-mse': 3.646653652191162, 'train-mse-bal': 0.6926976442337036, 'majority-mse': 3.6634960174560547, 'minority-mse': 7.347391605377197, 'trainable': 'last-layer'}
{'nodes': 2560, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 0.8790703415870667, 'train-mse-bal': 0.11646532267332077, 'majority-mse': 2.2032856941223145, 'minority-mse': 14.609579086303711, 'trainable': 'last-layer'}
{'nodes': 10240, 'beta-norm': 1, 'epochs': 50, 'train-mse': 3.714763641357422, 'train-mse-bal': 0.6665489673614502, 'majority-mse': 3.8189940452575684, 'minority-mse': 7.625821113586426, 'trainable': 'last-layer'}
{'nodes': 10240, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 0.11203528940677643, 'train-mse-bal': 0.019854813814163208, 'majority-mse': 1.3345928192138672, 'minority-mse': 16.62862777709961, 'trainable': 'last-layer'}
{'nodes': 10, 'beta-norm': 10, 'epochs': 50, 'train-mse': 416.3321533203125, 'train-mse-bal': 73.77950286865234, 'majority-mse': 397.86358642578125, 'minority-mse': 453.6922607421875, 'trainable': 'last-layer'}
{'nodes': 10, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 320.60992431640625, 'train-mse-bal': 56.2401008605957, 'majority-mse': 323.8094482421875, 'minority-mse': 359.2601318359375, 'trainable': 'last-layer'}
{'nodes': 40, 'beta-norm': 10, 'epochs': 50, 'train-mse': 303.3264465332031, 'train-mse-bal': 53.872074127197266, 'majority-mse': 291.04638671875, 'minority-mse': 324.5599365234375, 'trainable': 'last-layer'}
{'nodes': 40, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 51.346073150634766, 'train-mse-bal': 8.950023651123047, 'majority-mse': 53.02647018432617, 'minority-mse': 59.68732452392578, 'trainable': 'last-layer'}
{'nodes': 160, 'beta-norm': 10, 'epochs': 50, 'train-mse': 124.74464416503906, 'train-mse-bal': 22.27585792541504, 'majority-mse': 121.11151885986328, 'minority-mse': 146.68020629882812, 'trainable': 'last-layer'}
{'nodes': 160, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 5.33902645111084, 'train-mse-bal': 0.9195975661277771, 'majority-mse': 5.274730205535889, 'minority-mse': 10.41087818145752, 'trainable': 'last-layer'}
{'nodes': 640, 'beta-norm': 10, 'epochs': 50, 'train-mse': 22.794824600219727, 'train-mse-bal': 4.062981605529785, 'majority-mse': 22.804553985595703, 'minority-mse': 26.70602798461914, 'trainable': 'last-layer'}
{'nodes': 640, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 2.559786558151245, 'train-mse-bal': 0.39791667461395264, 'majority-mse': 2.92546010017395, 'minority-mse': 11.989584922790527, 'trainable': 'last-layer'}
