{'nodes': 10240, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 0.01122131384909153, 'train-mse-bal': 0.0037596523761749268, 'majority-mse': 0.3289034962654114, 'minority-mse': 4.704683303833008, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 10, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.749872207641602, 'train-mse-bal': 0.8568503856658936, 'majority-mse': 4.999814510345459, 'minority-mse': 5.8846845626831055, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 4.52005672454834, 'train-mse-bal': 0.8352105617523193, 'majority-mse': 4.848893165588379, 'minority-mse': 6.183479309082031, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 40, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.74205207824707, 'train-mse-bal': 0.8395856022834778, 'majority-mse': 5.0777411460876465, 'minority-mse': 5.886288642883301, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 40, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 4.512693405151367, 'train-mse-bal': 0.8089717626571655, 'majority-mse': 4.963766098022461, 'minority-mse': 6.459918022155762, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 160, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.425504207611084, 'train-mse-bal': 0.8078543543815613, 'majority-mse': 4.751363277435303, 'minority-mse': 6.254354953765869, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 160, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 3.8235883712768555, 'train-mse-bal': 0.6762630343437195, 'majority-mse': 4.401634216308594, 'minority-mse': 8.230768203735352, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 640, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.3666253089904785, 'train-mse-bal': 0.7864223122596741, 'majority-mse': 4.751364707946777, 'minority-mse': 6.380955219268799, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 640, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 2.386500597000122, 'train-mse-bal': 0.37626364827156067, 'majority-mse': 3.5496320724487305, 'minority-mse': 12.221384048461914, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 2560, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.25508975982666, 'train-mse-bal': 0.7653563022613525, 'majority-mse': 4.7073445320129395, 'minority-mse': 6.771294593811035, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 2560, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 0.9959475994110107, 'train-mse-bal': 0.12982818484306335, 'majority-mse': 2.406195878982544, 'minority-mse': 15.480531692504883, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10240, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.3277997970581055, 'train-mse-bal': 0.7619481086730957, 'majority-mse': 4.698454856872559, 'minority-mse': 6.75157356262207, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10240, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 0.15109574794769287, 'train-mse-bal': 0.02455318160355091, 'majority-mse': 1.679553747177124, 'minority-mse': 17.703601837158203, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 5.31797981262207, 'train-mse-bal': 0.9613401293754578, 'majority-mse': 5.0781569480896, 'minority-mse': 4.625598907470703, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
